car_id,Company,Model,Color,used year,gas,mileage,Outfit,detail,price
3655422,比雅久/PGO, Alpha Max 125,綠色,5,0.1,12900.0,原漆土除液晶面板液晶儀錶,"Hello~我們是笛加車業LINEID：@djcar找車問笛加(DJ-car)：幫您找五年內好車好車在笛加(DJ-car)：專售五年內好車保證選笛加(DJ-car)：三大保證1.品質保證：絕不賣事故車/泡水車/拼裝車2.售後保證：配合專業保修廠，不讓您成為孤兒3.即時保證：線上即時服務不用等聯絡電話：0966-235-996商品名稱：PGOAlpha-max-125CBS版產品狀態：無待修里程：12,900km(因試車，緩慢增加)出廠年份：2018年8月運費：台北市/新北市以外託運費用另計貸款需求：可協助申辦，不另外收費售後服務：阿志機車(108台北市萬華區西園路二段115號)車庫地點：台北市-花博公園附近",36000.0
3667258,三陽/SYM, 迪爵 125,灰色,4,0.1,32100.0,原漆土除液晶面板,"Hello~我們是笛加車業LINEID：@djcar找車問笛加(DJ-car)：幫您找五年內好車好車在笛加(DJ-car)：專售五年內好車保證選笛加(DJ-car)：三大保證1.品質保證：絕不賣事故車/泡水車/拼裝車2.售後保證：配合專業保修廠，不讓您成為孤兒3.即時保證：線上即時服務不用等聯絡電話：0966-235-996商品名稱：SYM新迪爵125-碟煞版產品狀態：無待修里程：32,100km(因試車，緩慢增加)出廠年份：2019年3月運費：台北市/新北市以外託運費用另計貸款需求：可協助申辦，不另外收費售後服務：阿志機車(108台北市萬華區西園路二段115號)車庫地點：台北市-花博公園附近",40000.0
3683117,三陽/SYM, 迪爵 125,藍色,4,0.1,30300.0,原漆土除,"Hello~我們是笛加車業LINEID：@djcar找車問笛加(DJ-car)：幫您找五年內好車好車在笛加(DJ-car)：專售五年內好車保證選笛加(DJ-car)：三大保證1.品質保證：絕不賣事故車/泡水車/拼裝車2.售後保證：配合專業保修廠，不讓您成為孤兒3.即時保證：線上即時服務不用等聯絡電話：0966-235-996商品名稱：SYM新迪爵125-鼓煞版產品狀態：無待修里程：30,300km(因試車，緩慢增加)出廠年份：2019年1月運費：台北市/新北市以外託運費用另計貸款需求：可協助申辦，不另外收費售後服務：阿志機車(108台北市萬華區西園路二段115號)車庫地點：台北市-花博公園附近",35000.0
3683119,山葉/Yamaha, GTR AERO,白色,11,0.1,24100.0,原漆土除液晶面板,"Hello~我們是笛加車業LINEID：@djcar找車問笛加(DJ-car)：幫您找五年內好車好車在笛加(DJ-car)：專售五年內好車保證選笛加(DJ-car)：三大保證1.品質保證：絕不賣事故車/泡水車/拼裝車2.售後保證：配合專業保修廠，不讓您成為孤兒3.即時保證：線上即時服務不用等聯絡電話：0966-235-996商品名稱：YAMAHAGTRAero-125-碟煞版產品狀態：左側有小破損，車改過缸，馬力較大里程：24,100km(因試車，緩慢增加)出廠年份：2012年6月運費：台北市/新北市以外託運費用另計貸款需求：可協助申辦，不另外收費售後服務：阿志機車(108台北市萬華區西園路二段115號)車庫地點：台北市-花博公園附近",26000.0
3685029,山葉/Yamaha, 勁豪125/AXIS Z,黑色,3,0.1,18000.0,原漆土除,"Hello~我們是笛加車業LINEID：@djcar找車問笛加(DJ-car)：幫您找五年內好車好車在笛加(DJ-car)：專售五年內好車保證選笛加(DJ-car)：三大保證1.品質保證：絕不賣事故車/泡水車/拼裝車2.售後保證：配合專業保修廠，不讓您成為孤兒3.即時保證：線上即時服務不用等聯絡電話：0966-235-996商品名稱：YAMAHA勁豪-125-碟煞版產品狀態：無待修里程：18,000km(因試車，緩慢增加)出廠年份：2020年4月運費：台北市/新北市以外託運費用另計貸款需求：可協助申辦，不另外收費售後服務：阿志機車(108台北市萬華區西園路二段115號)車庫地點：台北市-花博公園附近",41000.0
3692726,光陽/KYMCO, 雷霆 S150/Racing S150,白色,2,0.1,20000.0,原漆土除ABS液晶儀錶,"Hello~我們是笛加車業LINEID：@djcar找車問笛加(DJ-car)：幫您找五年內好車好車在笛加(DJ-car)：專售五年內好車保證選笛加(DJ-car)：三大保證1.品質保證：絕不賣事故車/泡水車/拼裝車2.售後保證：配合專業保修廠，不讓您成為孤兒3.即時保證：線上即時服務不用等聯絡電話：0966-235-996商品名稱：KYMCO-RACINGS150(ABS版)150cc產品狀態：近全新里程：19,980km(因試車，緩慢增加)出廠年份：2021年4月運費：台北市/新北市以外託運費用另計貸款需求：可協助申辦，不另外收費售後服務：阿志機車(108台北市萬華區西園路二段115號)車庫地點：台北市-花博公園附近",69000.0
3716183,山葉/Yamaha, JOG SWEET 115,紫色,5,0.1,22100.0,原漆土除,"Hello~我們是笛加車業LINEID：@djcar找車問笛加(DJ-car)：幫您找五年內好車好車在笛加(DJ-car)：專售五年內好車保證選笛加(DJ-car)：三大保證1.品質保證：絕不賣事故車/泡水車/拼裝車2.售後保證：配合專業保修廠，不讓您成為孤兒3.即時保證：線上即時服務不用等聯絡電話：0966-235-996商品名稱：YAMAHAJOG-SWEET-115產品狀態：無待修里程：22,100km(因試車，緩慢增加)出廠年份：2018年6月運費：台北市/新北市以外託運費用另計貸款需求：可協助申辦，不另外收費售後服務：阿志機車(108台北市萬華區西園路二段115號)車庫地點：台北市-花博公園附近",32000.0
3716178,三陽/SYM, Woo 110,紫色,4,0.1,24500.0,原漆土除,"Hello~我們是笛加車業LINEID：@djcar找車問笛加(DJ-car)：幫您找五年內好車好車在笛加(DJ-car)：專售五年內好車保證選笛加(DJ-car)：三大保證1.品質保證：絕不賣事故車/泡水車/拼裝車2.售後保證：配合專業保修廠，不讓您成為孤兒3.即時保證：線上即時服務不用等聯絡電話：0966-235-996商品名稱：SYMWOO-100產品狀態：無待修里程：24,500km(因試車，緩慢增加)出廠年份：2019年3月運費：台北市/新北市以外託運費用另計貸款需求：可協助申辦，不另外收費售後服務：阿志機車(108台北市萬華區西園路二段115號)車庫地點：台北市-花博公園附近",33000.0
3708813,光陽/KYMCO, CUE 100,紅色,4,0.1,21800.0,原漆,"Hello~我們是笛加車業LINEID：@djcar找車問笛加(DJ-car)：填好問卷，幫您找五年內好車好車在笛加(DJ-car)：專售五年內好車保證選笛加(DJ-car)：三大保證1.品質保證：絕不賣事故車/泡水車/拼裝車2.售後保證：配合專業保修廠，不讓您成為孤兒3.即時保證：線上即時服務不用等聯絡電話：0966-235-996商品名稱：KYMCOcue-100產品狀態：無待修里程：21,800km(因試車，緩慢增加)出廠年份：2019年1月運費：台北市/新北市以外託運費用另計貸款需求：可協助申辦，不另外收費售後服務：阿志機車(108台北市萬華區西園路二段115號)車庫地點：台北市-花博公園附近",33000.0
3707954,山葉/Yamaha, 新勁戰125,白色,9,0.1,24200.0,原漆土除,"Hello~我們是笛加車業LINEID：@djcar找車問笛加(DJ-car)：幫您找五年內好車好車在笛加(DJ-car)：專售五年內好車保證選笛加(DJ-car)：三大保證1.品質保證：絕不賣事故車/泡水車/拼裝車2.售後保證：配合專業保修廠，不讓您成為孤兒3.即時保證：線上即時服務不用等聯絡電話：0966-235-996商品名稱：YAMAHA勁戰三代125產品狀態：無待修里程：24,220km(因試車，緩慢增加)出廠年份：2014年7月運費：台北市/新北市以外託運費用另計貸款需求：可協助申辦，不另外收費售後服務：阿志機車(108台北市萬華區西園路二段115號)車庫地點：台北市-花博公園附近",38000.0
